Owner Login,Repository Name,Repository URL,Has Xtext,total_files,Has textual instance?,instances_count,Instances adhere to grammar?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msntts,XtextStudy,https://github.com/msntts/XtextStudy,YES,2,YES,1,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idiomaticsoft,xtext-tips,https://github.com/idiomaticsoft/xtext-tips,YES,22,YES,1,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preesm,ripacola-xtext,https://github.com/preesm/ripacola-xtext,YES,1,YES,4,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GabrielBozza,ProjetoXtextPFC,https://github.com/GabrielBozza/ProjetoXtextPFC,YES,2,YES,2,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyrilnavessamuel,TripManagment,https://github.com/cyrilnavessamuel/TripManagment,YES,2,YES,1,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dslmeinte,SimScript,https://github.com/dslmeinte/SimScript,YES,6,YES,9,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
janesser,frege-xtext,https://github.com/janesser/frege-xtext,YES,1,YES,1,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protossoftware,ReqText,https://github.com/protossoftware/ReqText,YES,1,YES,2,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wwu-pi,acse-xtext-validation,https://github.com/wwu-pi/acse-xtext-validation,YES,2,YES,1,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentlab,PowerLoomDSL,https://github.com/agentlab/PowerLoomDSL,YES,1,YES,10,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
